time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
2340.0000 0.0338 -0.0966 -0.0409 2.8082 2.7080 2.6956
2350.0000 -0.1059 -0.0170 -0.1232 2.7777 2.7830 2.6295
2360.0000 -0.1185 -0.0798 0.0375 2.6566 2.9558 2.7707
2370.0000 0.0808 -0.1622 0.0403 2.7689 2.7225 2.7165
2380.0000 -0.1318 -0.1987 0.0810 2.6462 2.7639 2.7240
2390.0000 -0.0559 -0.0091 0.1021 2.6708 2.8261 2.6498
2400.0000 0.0537 -0.1744 0.1329 2.6517 2.6300 2.6209
2410.0000 -0.0146 -0.1525 -0.0282 2.7387 2.7223 2.6435
2420.0000 -0.0410 -0.2570 -0.0322 2.7915 2.7479 2.6786
2430.0000 -0.1847 -0.2352 -0.1005 2.9002 2.8506 2.7026
2440.0000 -0.0923 -0.1026 -0.1293 2.7286 2.7775 2.6004
2450.0000 -0.0302 0.1606 0.0153 2.7095 2.7847 2.7706
2460.0000 -0.1211 0.1270 -0.0809 2.7640 2.6983 2.7783
2470.0000 -0.2379 0.0835 0.0333 2.7365 2.6170 2.6968
2480.0000 -0.1732 0.0271 -0.2065 2.8584 2.7487 2.6903
2490.0000 -0.2531 -0.0545 -0.0840 2.7605 2.6219 2.5837
2500.0000 -0.2316 0.0101 -0.2247 2.9155 2.8413 2.7475
2510.0000 -0.3306 -0.0774 -0.1438 2.8650 2.6306 2.6184
2520.0000 -0.3308 -0.0537 -0.2048 2.8192 2.5929 2.6367
2530.0000 -0.2623 -0.0775 -0.1026 2.7948 2.8265 2.8084
2540.0000 -0.1010 -0.2009 -0.0690 2.7562 2.7545 2.7608
2550.0000 -0.1631 -0.1698 -0.0453 2.9101 2.6864 2.6393
2560.0000 -0.2082 -0.1551 -0.0497 2.8527 2.5806 2.7170
2570.0000 -0.2474 -0.1194 0.0628 2.9011 2.7394 2.7369
2580.0000 -0.1742 -0.0319 0.0785 2.9520 2.7414 2.7206
2590.0000 -0.1492 0.0451 0.0359 2.8163 2.7982 2.6511
2600.0000 -0.2594 -0.0507 -0.0690 2.8882 2.8028 2.7113
2610.0000 -0.1450 0.0381 0.0196 2.7751 2.8108 2.8535
2620.0000 -0.1594 0.1021 -0.1637 2.7095 2.7879 2.6405
2630.0000 -0.3336 0.0093 -0.0803 2.9077 2.7847 2.6398
2640.0000 -0.2591 0.1014 -0.0641 2.8327 2.5852 2.7631
2650.0000 -0.3171 -0.0882 -0.0406 2.9218 2.8091 2.6843
2660.0000 -0.2043 0.0309 0.0984 2.7585 2.5777 2.8085
2670.0000 -0.1805 -0.0283 -0.0410 2.7404 2.6931 2.6354
2680.0000 -0.4441 -0.0582 -0.0247 2.6345 2.7945 2.8098
2690.0000 -0.3598 -0.1316 0.0397 2.8799 2.8406 2.9216
2700.0000 -0.1812 0.1270 -0.0049 2.6062 2.7650 2.6847
2710.0000 -0.2923 0.0438 0.0450 2.8571 2.8230 2.8364
2720.0000 -0.2809 -0.1682 -0.1251 2.6926 2.8504 2.6732
2730.0000 -0.2611 -0.0232 -0.0620 2.6433 2.8229 2.6036
2740.0000 -0.4389 -0.0092 -0.1568 2.7795 2.8149 2.8552
2750.0000 -0.1332 -0.0352 -0.0764 2.7221 2.8427 2.8186
2760.0000 -0.1411 -0.0428 -0.1085 2.5216 2.7396 2.7581
2770.0000 -0.1181 0.0021 -0.0015 2.6114 2.5042 2.7669
2780.0000 -0.0228 0.1271 -0.2396 2.5860 2.6919 2.6357
2790.0000 -0.0329 0.0608 -0.2124 2.7082 2.6981 2.7182
2800.0000 0.0066 -0.0474 0.0030 2.7600 2.8021 2.8504
2810.0000 -0.2424 0.0685 -0.2068 2.6467 2.6427 2.5626
2820.0000 -0.0731 -0.1123 -0.0216 2.7862 2.8081 2.8792
2830.0000 0.0714 -0.0995 -0.1598 2.6799 2.6576 2.7648
2840.0000 -0.0346 -0.1110 -0.1676 2.6771 2.6039 2.6611
2850.0000 -0.0433 -0.1719 -0.0889 2.7516 2.7448 2.6541
2860.0000 -0.1157 -0.0182 -0.3718 2.7305 2.4939 2.7034
2870.0000 -0.1298 -0.1807 -0.0914 2.6916 2.5700 2.5642
2880.0000 -0.0346 -0.2044 -0.2008 2.7971 2.7697 2.6678
2890.0000 0.0862 -0.1190 -0.2529 2.6167 2.5390 2.6340
2900.0000 0.0996 -0.0536 -0.2492 2.6918 2.7274 2.7198
2910.0000 0.0628 -0.0674 -0.0478 2.7471 2.7322 2.7403
2920.0000 0.0559 -0.0176 0.1143 2.7310 2.7622 2.9285
2930.0000 0.1127 0.0642 0.0995 2.7334 2.8320 2.8629
2940.0000 -0.1248 -0.1440 -0.0306 2.6931 2.7627 2.9497
2950.0000 -0.1707 -0.0995 0.0030 2.8789 2.6691 2.9845
2960.0000 0.0554 0.0032 -0.0770 2.6659 2.6298 2.8915
2970.0000 0.2075 0.0964 -0.0781 2.5429 2.6287 2.7602
2980.0000 -0.0291 -0.0179 -0.1473 2.7346 2.6332 2.9068
2990.0000 0.0885 0.0355 -0.0477 2.7108 2.7127 2.9791
3000.0000 -0.1865 -0.0160 -0.0802 2.4560 2.7076 2.7781
