time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
1700.0000 -0.1241 -0.1089 -0.0204 2.7238 2.7348 2.7164
1710.0000 -0.0692 -0.2152 -0.0607 2.8217 2.7857 2.7558
1720.0000 -0.0008 -0.1333 0.0886 2.8286 2.8323 2.8095
1730.0000 -0.2066 0.0597 0.0308 2.7666 3.0862 2.8241
1740.0000 -0.2269 -0.1016 -0.0198 2.6490 2.7754 2.8194
1750.0000 -0.0923 -0.1093 0.0641 2.5904 2.7224 2.8092
1760.0000 -0.0286 -0.1345 0.0445 2.7239 2.4929 2.8424
1770.0000 -0.0519 -0.0161 0.0102 2.8250 2.6187 2.7643
1780.0000 -0.0404 0.0073 0.0135 2.7521 2.5220 2.6890
1790.0000 -0.1688 0.1204 0.0471 2.8175 2.6425 2.7515
1800.0000 -0.1407 0.0619 -0.1150 2.8532 2.6729 2.8148
1810.0000 -0.2095 -0.0039 -0.0680 2.7206 2.7010 2.7385
1820.0000 -0.1845 0.0050 -0.0223 2.8348 2.7592 2.7739
1830.0000 -0.1420 0.0062 0.1078 2.9096 2.9976 2.8195
1840.0000 -0.1969 0.0844 -0.0606 2.7127 2.9220 2.7528
1850.0000 -0.1304 -0.0136 0.0090 2.8529 2.9889 2.7553
1860.0000 -0.0427 -0.0570 -0.0119 2.8949 2.9269 2.7800
1870.0000 -0.2474 0.0266 0.0263 2.8133 2.8990 2.7886
1880.0000 -0.2140 0.0807 0.0365 2.7320 2.9079 2.8103
1890.0000 -0.2261 0.1028 -0.1134 2.8061 2.9578 2.7653
1900.0000 -0.2081 0.0126 -0.0806 2.7092 2.9644 2.7865
1910.0000 -0.0587 0.2027 -0.0871 2.6807 2.8583 2.7403
1920.0000 -0.2008 0.1007 0.1057 2.6855 2.9610 2.7413
1930.0000 -0.1080 0.0654 0.1840 2.7116 2.8735 2.6671
1940.0000 -0.1171 -0.0126 0.1789 2.6598 2.8291 2.6768
1950.0000 -0.1976 0.0897 0.1286 2.8152 2.7301 2.7508
1960.0000 -0.2864 0.0825 0.1125 2.7062 2.8692 2.7257
